Country Name,2019 [YR2019]_econ,2020 [YR2020]_econ,2021 [YR2021]_econ,2022 [YR2022]_econ,2023 [YR2023]_econ,2019 [YR2019]_gov,2020 [YR2020]_gov,2021 [YR2021]_gov,2022 [YR2022]_gov,2023 [YR2023]_gov
Papua New Guinea,0.0005209964813940522,0.00033335914074957354,0.0003073436058988701,0.0010462109700215185,0.009498672121593341,0.17165228907232224,0.181153006234129,0.17385076073103775,0.18158428800538712,0.19159484591705425
Paraguay,0.0035254584017859656,0.0040204362636274485,0.0038174825353198744,0.004941937347256427,0.014089922730188999,0.2220599250563033,0.22672528738327022,0.21285782671391743,0.21196536775135646,0.22501603584026364
Peru,0.0005238198226744871,0.00033539688607048046,0.00030899637833502614,0.0010475932593593837,0.009501255732886713,0.2722336688594018,0.26071558369040043,0.24024384312385247,0.22662361422182387,0.22927848519672722
Philippines,0.0008562362243181591,0.0006698018751846909,0.0006583097336034117,0.001439293613266604,0.009978877113805221,0.23471563846207302,0.2331196120781473,0.22678818690131894,0.2381394820723487,0.25082442542314026
Poland,0.0005613607504496923,0.00037132560453690295,0.00035043263930553827,0.0011031444882855233,0.009571871139252286,0.3860707251825843,0.3734891579355415,0.365782199134008,0.36268283017802533,0.3755963316170842
Portugal,0.0005249519149090046,0.00033630924308594116,0.00031038070791372007,0.0010503953538379544,0.009504770140525148,0.4438498390398539,0.43533808322838935,0.43172289034700334,0.42866411085715556,0.42421193833118837
Puerto Rico,0.0005197963801922231,0.0003326991867523107,0.0003062679336773913,0.0010444789053675333,0.00949666584485734,0.3177800370613503,0.3223954591783703,0.3345523614559245,0.32366441135446306,0.31844683889948794
Qatar,0.00048380960372163803,0.00028434823646912463,0.00025315367473051164,0.0010070555968046471,0.009454203485929215,0.34884605340918007,0.35740833010423617,0.36977817115406253,0.37633729553160167,0.38324627165763525
Romania,0.0005386046916605446,0.0003503500496348786,0.00032418519990697314,0.0010666758949026691,0.009528208049924613,0.3298580970029322,0.3232928863213461,0.3295609103227812,0.33140279056379746,0.328463556400558
Russian Federation,0.0005272412339823047,0.00033640034883625127,0.00031780045264921496,0.0010689832574736697,0.009501893857550455,0.18572112673372312,0.17454239276259673,0.16681299576849923,0.11639437765906518,0.11349450469086289
Rwanda,0.0005926243274424626,0.00041086727761664363,0.00038157720281675983,0.0011329845226808785,0.009641644556914453,0.28299347447661,0.2856248065543958,0.2959690293843238,0.2953751720168414,0.30533969471801525
Samoa,0.0005198604102503722,0.00033276545023954324,0.0003063272100350249,0.0010445590436137606,0.009496804410755741,0.37417996161986605,0.3765074875394757,0.36582126341916726,0.3671199810376195,0.3791292415998093
Sao Tome and Principe,0.000519796375484051,0.0003326991831871082,0.00030626793006627095,0.0010444789008011034,0.009496665839331505,0.23758712025885817,0.23673556149069722,0.2414208318274933,0.24037120334926168,0.2371994544931395
